kraj,dni,wariant,nazwa,cena_pln,ocena_booking,opinie_booking,status_prania,pralka_potwierdzona,pralka_tylko_opinia,usluga_prania,kuchnia,prywatna_lazienka,beachfront,sea_view,parking,plaza_booking,ocena_wyboru_1_10,link,page-content
Albania,8,A — super: plaża / ocena / okolica,The White Donkey Apartment House,1711.00,9.4,44,Pralka w pokoju/obiektu potwierdzona; usługa prania niepotwierdzona,True,False,False,True,True,True,True,True,The nearest beach is 150 ft from The White Donkey Apartment House.,10.0,https://www.booking.com/hotel/al/the-white-donkey.html?aid=2438770&checkin=2026-09-16&checkout=2026-09-24&no_rooms=1&group_adults=2&selected_currency=PLN,scrape/ALBANIA/booking_matrix_albania_MD/Albania-The White Donkey Apartment House.md
Albania,11,A — super: plaża / ocena / okolica,The White Donkey Apartment House,2355.00,9.4,44,Pralka w pokoju/obiektu potwierdzona; usługa prania niepotwierdzona,True,False,False,True,True,True,True,True,The nearest beach is 150 ft from The White Donkey Apartment House.,10.0,https://www.booking.com/hotel/al/the-white-donkey.html?aid=2438770&checkin=2026-09-16&checkout=2026-09-27&no_rooms=1&group_adults=2&selected_currency=PLN,scrape/ALBANIA/booking_matrix_albania_MD/Albania-The White Donkey Apartment House.md
Albania,14,A — super: plaża / ocena / okolica,The White Donkey Apartment House,2998.00,9.4,44,Pralka w pokoju/obiektu potwierdzona; usługa prania niepotwierdzona,True,False,False,True,True,True,True,True,The nearest beach is 150 ft from The White Donkey Apartment House.,10.0,https://www.booking.com/hotel/al/the-white-donkey.html?aid=2438770&checkin=2026-09-16&checkout=2026-09-30&no_rooms=1&group_adults=2&selected_currency=PLN,scrape/ALBANIA/booking_matrix_albania_MD/Albania-The White Donkey Apartment House.md
Albania,8,A — super: plaża / ocena / okolica,Aquamarine Apartments,1615.00,9.2,408,Pralnia/usługa prania potwierdzona w udogodnieniach obiektu,False,False,True,True,True,True,True,True,The nearest beach is 150 ft from Aquamarine Apartments.,10.0,https://www.booking.com/hotel/al/aquamarine-apartments.html?aid=2438770&checkin=2026-09-16&checkout=2026-09-24&no_rooms=1&group_adults=2&selected_currency=PLN,scrape/ALBANIA/booking_matrix_albania_MD/Albania-Aquamarine Apartments.md
Albania,11,A — super: plaża / ocena / okolica,Aquamarine Apartments,2221.00,9.2,408,Pralnia/usługa prania potwierdzona w udogodnieniach obiektu,False,False,True,True,True,True,True,True,The nearest beach is 150 ft from Aquamarine Apartments.,10.0,https://www.booking.com/hotel/al/aquamarine-apartments.html?aid=2438770&checkin=2026-09-16&checkout=2026-09-27&no_rooms=1&group_adults=2&selected_currency=PLN,scrape/ALBANIA/booking_matrix_albania_MD/Albania-Aquamarine Apartments.md
Albania,14,A — super: plaża / ocena / okolica,Aquamarine Apartments,2827.00,9.2,408,Pralnia/usługa prania potwierdzona w udogodnieniach obiektu,False,False,True,True,True,True,True,True,The nearest beach is 150 ft from Aquamarine Apartments.,10.0,https://www.booking.com/hotel/al/aquamarine-apartments.html?aid=2438770&checkin=2026-09-16&checkout=2026-09-30&no_rooms=1&group_adults=2&selected_currency=PLN,scrape/ALBANIA/booking_matrix_albania_MD/Albania-Aquamarine Apartments.md
Albania,8,A — super: plaża / ocena / okolica,LOOKOUT Apartments,2651.00,9.6,291,Brak pralki/pralni w udogodnieniach obiektu,False,False,False,True,True,True,True,True,The nearest beach is 350 ft from LOOKOUT Apartments.,10.0,https://www.booking.com/hotel/al/lookout-apartments.html?aid=2438770&checkin=2026-09-16&checkout=2026-09-24&no_rooms=1&group_adults=2&selected_currency=PLN,scrape/ALBANIA/booking_matrix_albania_MD/Albania-LOOKOUT Apartments.md
Albania,11,A — super: plaża / ocena / okolica,LOOKOUT Apartments,3605.00,9.6,291,Brak pralki/pralni w udogodnieniach obiektu,False,False,False,True,True,True,True,True,The nearest beach is 350 ft from LOOKOUT Apartments.,10.0,https://www.booking.com/hotel/al/lookout-apartments.html?aid=2438770&checkin=2026-09-16&checkout=2026-09-27&no_rooms=1&group_adults=2&selected_currency=PLN,scrape/ALBANIA/booking_matrix_albania_MD/Albania-LOOKOUT Apartments.md
Albania,14,A — super: plaża / ocena / okolica,LOOKOUT Apartments,4560.00,9.6,291,Brak pralki/pralni w udogodnieniach obiektu,False,False,False,True,True,True,True,True,The nearest beach is 350 ft from LOOKOUT Apartments.,10.0,https://www.booking.com/hotel/al/lookout-apartments.html?aid=2438770&checkin=2026-09-16&checkout=2026-09-30&no_rooms=1&group_adults=2&selected_currency=PLN,scrape/ALBANIA/booking_matrix_albania_MD/Albania-LOOKOUT Apartments.md
Albania,8,A — super: plaża / ocena / okolica,Esmeralda Apartaments,1527.00,9.1,99,Pralka w pokoju/obiektu potwierdzona; usługa prania niepotwierdzona,True,False,False,True,True,True,True,True,The nearest beach is 650 ft from Esmeralda Apartaments.,10.0,https://www.booking.com/hotel/al/esmeralda-apartments.html?aid=2438770&checkin=2026-09-16&checkout=2026-09-24&no_rooms=1&group_adults=2&selected_currency=PLN,scrape/ALBANIA/booking_matrix_albania_MD/Albania-Esmeralda Apartaments.md
Albania,11,A — super: plaża / ocena / okolica,Esmeralda Apartaments,2100.00,9.1,99,Pralka w pokoju/obiektu potwierdzona; usługa prania niepotwierdzona,True,False,False,True,True,True,True,True,The nearest beach is 650 ft from Esmeralda Apartaments.,10.0,https://www.booking.com/hotel/al/esmeralda-apartments.html?aid=2438770&checkin=2026-09-16&checkout=2026-09-27&no_rooms=1&group_adults=2&selected_currency=PLN,scrape/ALBANIA/booking_matrix_albania_MD/Albania-Esmeralda Apartaments.md
Albania,14,A — super: plaża / ocena / okolica,Esmeralda Apartaments,2672.00,9.1,99,Pralka w pokoju/obiektu potwierdzona; usługa prania niepotwierdzona,True,False,False,True,True,True,True,True,The nearest beach is 650 ft from Esmeralda Apartaments.,10.0,https://www.booking.com/hotel/al/esmeralda-apartments.html?aid=2438770&checkin=2026-09-16&checkout=2026-09-30&no_rooms=1&group_adults=2&selected_currency=PLN,scrape/ALBANIA/booking_matrix_albania_MD/Albania-Esmeralda Apartaments.md
Albania,8,A — super: plaża / ocena / okolica,Andra Apartment,1527.00,8.6,7,Pralnia i pralka potwierdzone w udogodnieniach obiektu,True,False,True,True,True,True,True,True,The nearest beach is 150 ft from Andra Apartment.,7.8,https://www.booking.com/hotel/al/ambra-apartment.html?aid=2438770&checkin=2026-09-16&checkout=2026-09-24&no_rooms=1&group_adults=2&selected_currency=PLN,scrape/ALBANIA/booking_matrix_albania_MD/Albania-Andra Apartment.md
Albania,11,A — super: plaża / ocena / okolica,Andra Apartment,2100.00,8.6,7,Pralnia i pralka potwierdzone w udogodnieniach obiektu,True,False,True,True,True,True,True,True,The nearest beach is 150 ft from Andra Apartment.,7.8,https://www.booking.com/hotel/al/ambra-apartment.html?aid=2438770&checkin=2026-09-16&checkout=2026-09-27&no_rooms=1&group_adults=2&selected_currency=PLN,scrape/ALBANIA/booking_matrix_albania_MD/Albania-Andra Apartment.md
Albania,14,A — super: plaża / ocena / okolica,Andra Apartment,2672.00,8.6,7,Pralnia i pralka potwierdzone w udogodnieniach obiektu,True,False,True,True,True,True,True,True,The nearest beach is 150 ft from Andra Apartment.,7.8,https://www.booking.com/hotel/al/ambra-apartment.html?aid=2438770&checkin=2026-09-16&checkout=2026-09-30&no_rooms=1&group_adults=2&selected_currency=PLN,scrape/ALBANIA/booking_matrix_albania_MD/Albania-Andra Apartment.md
Albania,8,A — super: plaża / ocena / okolica,Hotel Almar,2009.00,9.9,25,Brak pralki/pralni w udogodnieniach obiektu,False,False,False,True,True,True,False,True,"The nearest beach is 2,600 ft from Hotel Almar.",10.0,https://www.booking.com/hotel/al/villa-all-season.html?aid=2438770&checkin=2026-09-16&checkout=2026-09-24&no_rooms=1&group_adults=2&selected_currency=PLN,scrape/ALBANIA/booking_matrix_albania_MD/Albania-Hotel Almar.md
Albania,11,A — super: plaża / ocena / okolica,Hotel Almar,2762.00,9.9,25,Brak pralki/pralni w udogodnieniach obiektu,False,False,False,True,True,True,False,True,"The nearest beach is 2,600 ft from Hotel Almar.",10.0,https://www.booking.com/hotel/al/villa-all-season.html?aid=2438770&checkin=2026-09-16&checkout=2026-09-27&no_rooms=1&group_adults=2&selected_currency=PLN,scrape/ALBANIA/booking_matrix_albania_MD/Albania-Hotel Almar.md
Albania,14,A — super: plaża / ocena / okolica,Hotel Almar,3515.00,9.9,25,Brak pralki/pralni w udogodnieniach obiektu,False,False,False,True,True,True,False,True,"The nearest beach is 2,600 ft from Hotel Almar.",10.0,https://www.booking.com/hotel/al/villa-all-season.html?aid=2438770&checkin=2026-09-16&checkout=2026-09-30&no_rooms=1&group_adults=2&selected_currency=PLN,scrape/ALBANIA/booking_matrix_albania_MD/Albania-Hotel Almar.md
Albania,8,A — super: plaża / ocena / okolica,Vila Era Beach,3481.00,9.2,896,Brak pralki/pralni w udogodnieniach obiektu,False,False,False,True,True,True,True,True,The nearest beach is 150 ft from Vila Era Beach.,9.8,https://www.booking.com/hotel/al/vila-era-beach.html?aid=2438770&checkin=2026-09-16&checkout=2026-09-24&no_rooms=1&group_adults=2&selected_currency=PLN,scrape/ALBANIA/booking_matrix_albania_MD/Albania-Vila Era Beach.md
Albania,11,A — super: plaża / ocena / okolica,Vila Era Beach,4787.00,9.2,896,Brak pralki/pralni w udogodnieniach obiektu,False,False,False,True,True,True,True,True,The nearest beach is 150 ft from Vila Era Beach.,9.8,https://www.booking.com/hotel/al/vila-era-beach.html?aid=2438770&checkin=2026-09-16&checkout=2026-09-27&no_rooms=1&group_adults=2&selected_currency=PLN,scrape/ALBANIA/booking_matrix_albania_MD/Albania-Vila Era Beach.md
Albania,14,A — super: plaża / ocena / okolica,Vila Era Beach,6093.00,9.2,896,Brak pralki/pralni w udogodnieniach obiektu,False,False,False,True,True,True,True,True,The nearest beach is 150 ft from Vila Era Beach.,9.8,https://www.booking.com/hotel/al/vila-era-beach.html?aid=2438770&checkin=2026-09-16&checkout=2026-09-30&no_rooms=1&group_adults=2&selected_currency=PLN,scrape/ALBANIA/booking_matrix_albania_MD/Albania-Vila Era Beach.md
Albania,8,A — super: plaża / ocena / okolica,Hotel Aloha,3092.00,8.6,949,Brak pralki/pralni w udogodnieniach obiektu,False,False,False,True,True,True,True,True,The nearest beach is 150 ft from Hotel Aloha.,9.3,https://www.booking.com/hotel/al/aloha-sarande.html?aid=2438770&checkin=2026-09-16&checkout=2026-09-24&no_rooms=1&group_adults=2&selected_currency=PLN,scrape/ALBANIA/booking_matrix_albania_MD/Albania-Hotel Aloha.md
Albania,11,A — super: plaża / ocena / okolica,Hotel Aloha,4237.00,8.6,949,Brak pralki/pralni w udogodnieniach obiektu,False,False,False,True,True,True,True,True,The nearest beach is 150 ft from Hotel Aloha.,9.3,https://www.booking.com/hotel/al/aloha-sarande.html?aid=2438770&checkin=2026-09-16&checkout=2026-09-27&no_rooms=1&group_adults=2&selected_currency=PLN,scrape/ALBANIA/booking_matrix_albania_MD/Albania-Hotel Aloha.md
Albania,14,A — super: plaża / ocena / okolica,Hotel Aloha,5382.00,8.6,949,Brak pralki/pralni w udogodnieniach obiektu,False,False,False,True,True,True,True,True,The nearest beach is 150 ft from Hotel Aloha.,9.3,https://www.booking.com/hotel/al/aloha-sarande.html?aid=2438770&checkin=2026-09-16&checkout=2026-09-30&no_rooms=1&group_adults=2&selected_currency=PLN,scrape/ALBANIA/booking_matrix_albania_MD/Albania-Hotel Aloha.md
Albania,8,A — super: plaża / ocena / okolica,SOLARA Apartments,951.00,9.8,6,Brak pralki/pralni w udogodnieniach obiektu,False,False,False,True,True,True,True,True,The nearest beach is 350 ft from SOLARA Apartments.,7.6,https://www.booking.com/hotel/al/solara-apartments.html?aid=2438770&checkin=2026-09-16&checkout=2026-09-24&no_rooms=1&group_adults=2&selected_currency=PLN,scrape/ALBANIA/booking_matrix_albania_MD/Albania-SOLARA Apartments.md
Albania,11,A — super: plaża / ocena / okolica,SOLARA Apartments,1282.00,9.8,6,Brak pralki/pralni w udogodnieniach obiektu,False,False,False,True,True,True,True,True,The nearest beach is 350 ft from SOLARA Apartments.,7.6,https://www.booking.com/hotel/al/solara-apartments.html?aid=2438770&checkin=2026-09-16&checkout=2026-09-27&no_rooms=1&group_adults=2&selected_currency=PLN,scrape/ALBANIA/booking_matrix_albania_MD/Albania-SOLARA Apartments.md
Albania,14,A — super: plaża / ocena / okolica,SOLARA Apartments,1613.00,9.8,6,Brak pralki/pralni w udogodnieniach obiektu,False,False,False,True,True,True,True,True,The nearest beach is 350 ft from SOLARA Apartments.,7.6,https://www.booking.com/hotel/al/solara-apartments.html?aid=2438770&checkin=2026-09-16&checkout=2026-09-30&no_rooms=1&group_adults=2&selected_currency=PLN,scrape/ALBANIA/booking_matrix_albania_MD/Albania-SOLARA Apartments.md
Albania,8,A — super: plaża / ocena / okolica,The View Above,978.00,,3,Brak pralki/pralni w udogodnieniach obiektu,False,False,False,True,True,True,True,True,"The nearest beach is 2,300 ft from The View Above.",8.0,https://www.booking.com/hotel/al/the-view-above.html?aid=2438770&checkin=2026-09-16&checkout=2026-09-24&no_rooms=1&group_adults=2&selected_currency=PLN,scrape/ALBANIA/booking_matrix_albania_MD/Albania-The View Above.md
Albania,11,A — super: plaża / ocena / okolica,The View Above,1345.00,,3,Brak pralki/pralni w udogodnieniach obiektu,False,False,False,True,True,True,True,True,"The nearest beach is 2,300 ft from The View Above.",8.0,https://www.booking.com/hotel/al/the-view-above.html?aid=2438770&checkin=2026-09-16&checkout=2026-09-27&no_rooms=1&group_adults=2&selected_currency=PLN,scrape/ALBANIA/booking_matrix_albania_MD/Albania-The View Above.md
Albania,14,A — super: plaża / ocena / okolica,The View Above,1712.00,,3,Brak pralki/pralni w udogodnieniach obiektu,False,False,False,True,True,True,True,True,"The nearest beach is 2,300 ft from The View Above.",8.0,https://www.booking.com/hotel/al/the-view-above.html?aid=2438770&checkin=2026-09-16&checkout=2026-09-30&no_rooms=1&group_adults=2&selected_currency=PLN,scrape/ALBANIA/booking_matrix_albania_MD/Albania-The View Above.md
Albania,8,B — rozsądnie: lokalizacja / opinia / pralka preferowana,Helia Hotel Suites & Penthouses at Santa Bay,2462.00,9.6,30,Brak pralki/pralni w udogodnieniach obiektu,False,False,False,True,True,False,True,True,The nearest beach is 350 ft from Helia Hotel Suites & Penthouses at Santa Bay.,10.0,https://www.booking.com/hotel/al/royal-sky-luxury-penthouse.html?aid=2438770&checkin=2026-09-16&checkout=2026-09-24&no_rooms=1&group_adults=2&selected_currency=PLN,scrape/ALBANIA/booking_matrix_albania_MD/Albania-Helia Hotel Suites  Penthouses at Santa Bay.md
