kraj,wariant,nazwa,cena_poprzedni_raport_pln,ocena_booking,opinie_booking,status_prania,pralka_potwierdzona,pralka_tylko_opinia,usluga_prania,kuchnia_aneks,prywatna_lazienka,beachfront,plaza_booking,ocena_wyboru_1_10,link
Albania,A — super: plaża / ocena / okolica,The White Donkey Apartment House,3530,9.5,44,Pralka potwierdzona,True,False,False,True,True,True,The nearest beach is 150 ft from The White Donkey Apartment House.,10,https://www.booking.com/hotel/al/the-white-donkey.html?aid=2438770&checkin=2026-09-16&checkout=2026-09-30&no_rooms=1&group_adults=2&selected_currency=PLN
Albania,A — super: plaża / ocena / okolica,Aquamarine Apartments,3323,9.2,409,Brak pralki/pralni w pobranej karcie,False,False,False,True,True,True,The nearest beach is 150 ft from Aquamarine Apartments.,10,https://www.booking.com/hotel/al/aquamarine-apartments.html?aid=2438770&checkin=2026-09-16&checkout=2026-09-30&no_rooms=1&group_adults=2&selected_currency=PLN
Albania,A — super: plaża / ocena / okolica,LOOKOUT Apartments,4556,9.6,290,Pralka potwierdzona,True,False,False,True,True,True,The nearest beach is 350 ft from LOOKOUT Apartments.,10,https://www.booking.com/hotel/al/lookout-apartments.html?aid=2438770&checkin=2026-09-16&checkout=2026-09-30&no_rooms=1&group_adults=2&selected_currency=PLN
Albania,A — super: plaża / ocena / okolica,Esmeralda Apartaments,2670,9.1,99,Pralka potwierdzona,True,False,False,True,True,True,The nearest beach is 650 ft from Esmeralda Apartaments.,10,https://www.booking.com/hotel/al/esmeralda-apartments.html?aid=2438770&checkin=2026-09-16&checkout=2026-09-30&no_rooms=1&group_adults=2&selected_currency=PLN
Albania,A — super: plaża / ocena / okolica,Andra Apartment,2670,8.6,7,Pralka potwierdzona,True,False,False,True,False,True,The nearest beach is 150 ft from Andra Apartment.,7.7,https://www.booking.com/hotel/al/ambra-apartment.html?aid=2438770&checkin=2026-09-16&checkout=2026-09-30&no_rooms=1&group_adults=2&selected_currency=PLN
Albania,A — super: plaża / ocena / okolica,Hotel Almar,3512,9.9,25,Brak pralki/pralni w pobranej karcie,False,False,False,True,True,True,"The nearest beach is 2,600 ft from Hotel Almar.",10,https://www.booking.com/hotel/al/villa-all-season.html?aid=2438770&checkin=2026-09-16&checkout=2026-09-30&no_rooms=1&group_adults=2&selected_currency=PLN
Albania,A — super: plaża / ocena / okolica,Vila Era Beach,6764,9.2,893,Brak pralki/pralni w pobranej karcie,False,False,False,False,True,True,The nearest beach is 150 ft from Vila Era Beach.,9.5,https://www.booking.com/hotel/al/vila-era-beach.html?aid=2438770&checkin=2026-09-16&checkout=2026-09-30&no_rooms=1&group_adults=2&selected_currency=PLN
Albania,A — super: plaża / ocena / okolica,Hotel Aloha,5976,8.6,948,Brak pralki/pralni w pobranej karcie,False,False,False,False,True,True,The nearest beach is 150 ft from Hotel Aloha.,9.1,https://www.booking.com/hotel/al/aloha-sarande.html?aid=2438770&checkin=2026-09-16&checkout=2026-09-30&no_rooms=1&group_adults=2&selected_currency=PLN
Albania,A — super: plaża / ocena / okolica,SOLARA Apartments,1729,9.8,6,Brak pralki/pralni w pobranej karcie,False,False,False,True,True,True,The nearest beach is 350 ft from SOLARA Apartments.,7.3,https://www.booking.com/hotel/al/solara-apartments.html?aid=2438770&checkin=2026-09-16&checkout=2026-09-30&no_rooms=1&group_adults=2&selected_currency=PLN
Albania,A — super: plaża / ocena / okolica,The View Above,1900,10.0,3,Pralka potwierdzona,True,False,False,True,False,True,"The nearest beach is 2,300 ft from The View Above.",7.8,https://www.booking.com/hotel/al/the-view-above.html?aid=2438770&checkin=2026-09-16&checkout=2026-09-30&no_rooms=1&group_adults=2&selected_currency=PLN
