kraj,dni,wariant,nazwa,cena_pln,ocena_booking,opinie_booking,status_prania,pralka_potwierdzona,pralka_tylko_opinia,usluga_prania,kuchnia,prywatna_lazienka,beachfront,sea_view,parking,plaza_booking,ocena_wyboru_1_10,link
Cypr,8,A — super: plaża / ocena / okolica,Queens Bay Hotel,5758.50,9.0,4139,Pralnia/usługa prania w obiekcie; pralka w pokoju niepotwierdzona,False,False,True,False,True,True,False,True,"The nearest beach is 1,000 ft from Queens Bay Hotel.",9.7,https://www.booking.com/hotel/cy/queensbay.html?aid=2438770&checkin=2026-09-14&checkout=2026-09-22&no_rooms=1&group_adults=2&selected_currency=PLN
Cypr,11,A — super: plaża / ocena / okolica,Queens Bay Hotel,7848.25,9.0,4139,Pralnia/usługa prania w obiekcie; pralka w pokoju niepotwierdzona,False,False,True,False,True,True,False,True,"The nearest beach is 1,000 ft from Queens Bay Hotel.",9.7,https://www.booking.com/hotel/cy/queensbay.html?aid=2438770&checkin=2026-09-14&checkout=2026-09-25&no_rooms=1&group_adults=2&selected_currency=PLN
Cypr,14,A — super: plaża / ocena / okolica,Queens Bay Hotel,9991.91,9.0,4139,Pralnia/usługa prania w obiekcie; pralka w pokoju niepotwierdzona,False,False,True,False,True,True,False,True,"The nearest beach is 1,000 ft from Queens Bay Hotel.",9.7,https://www.booking.com/hotel/cy/queensbay.html?aid=2438770&checkin=2026-09-14&checkout=2026-09-28&no_rooms=1&group_adults=2&selected_currency=PLN
Cypr,8,A — super: plaża / ocena / okolica,Capital Coast Resort And Spa,4886.23,7.8,5975,Pralnia/usługa prania w obiekcie; pralka w pokoju niepotwierdzona,False,False,True,True,False,True,False,True,The nearest beach is 650 ft from Capital Coast Resort And Spa.,8.5,https://www.booking.com/hotel/cy/capital-coast-resort-and-spa.html?aid=2438770&checkin=2026-09-14&checkout=2026-09-22&no_rooms=1&group_adults=2&selected_currency=PLN
Cypr,11,A — super: plaża / ocena / okolica,Capital Coast Resort And Spa,6718.56,7.8,5975,Pralnia/usługa prania w obiekcie; pralka w pokoju niepotwierdzona,False,False,True,True,False,True,False,True,The nearest beach is 650 ft from Capital Coast Resort And Spa.,8.5,https://www.booking.com/hotel/cy/capital-coast-resort-and-spa.html?aid=2438770&checkin=2026-09-14&checkout=2026-09-25&no_rooms=1&group_adults=2&selected_currency=PLN
Cypr,14,A — super: plaża / ocena / okolica,Capital Coast Resort And Spa,8550.90,7.8,5975,Pralnia/usługa prania w obiekcie; pralka w pokoju niepotwierdzona,False,False,True,True,False,True,False,True,The nearest beach is 650 ft from Capital Coast Resort And Spa.,8.5,https://www.booking.com/hotel/cy/capital-coast-resort-and-spa.html?aid=2438770&checkin=2026-09-14&checkout=2026-09-28&no_rooms=1&group_adults=2&selected_currency=PLN
Cypr,8,A — super: plaża / ocena / okolica,Helios Bay Hotel and Suites,3528.94,8.8,1776,Pralnia/usługa prania w obiekcie; pralka w pokoju niepotwierdzona,False,False,True,True,False,True,False,True,"The nearest beach is 2,300 ft from Helios Bay Hotel and Suites.",9.8,https://www.booking.com/hotel/cy/helios-bay.html?aid=2438770&checkin=2026-09-14&checkout=2026-09-22&no_rooms=1&group_adults=2&selected_currency=PLN
Cypr,11,A — super: plaża / ocena / okolica,Helios Bay Hotel and Suites,4852.30,8.8,1776,Pralnia/usługa prania w obiekcie; pralka w pokoju niepotwierdzona,False,False,True,True,False,True,False,True,"The nearest beach is 2,300 ft from Helios Bay Hotel and Suites.",9.8,https://www.booking.com/hotel/cy/helios-bay.html?aid=2438770&checkin=2026-09-14&checkout=2026-09-25&no_rooms=1&group_adults=2&selected_currency=PLN
Cypr,14,A — super: plaża / ocena / okolica,Helios Bay Hotel and Suites,6175.65,8.8,1776,Pralnia/usługa prania w obiekcie; pralka w pokoju niepotwierdzona,False,False,True,True,False,True,False,True,"The nearest beach is 2,300 ft from Helios Bay Hotel and Suites.",9.8,https://www.booking.com/hotel/cy/helios-bay.html?aid=2438770&checkin=2026-09-14&checkout=2026-09-28&no_rooms=1&group_adults=2&selected_currency=PLN
Cypr,8,A — super: plaża / ocena / okolica,Aquamare Beach Hotel & Spa,6335.60,8.4,2021,Pralnia/usługa prania w obiekcie; pralka w pokoju niepotwierdzona,False,False,True,False,True,True,False,True,"The nearest beach is 1,300 ft from Aquamare Beach Hotel & Spa.",8.5,https://www.booking.com/hotel/cy/aquamare-beach-spa.html?aid=2438770&checkin=2026-09-14&checkout=2026-09-22&no_rooms=1&group_adults=2&selected_currency=PLN
Cypr,11,A — super: plaża / ocena / okolica,Aquamare Beach Hotel & Spa,8653.50,8.4,2021,Pralnia/usługa prania w obiekcie; pralka w pokoju niepotwierdzona,False,False,True,False,True,True,False,True,"The nearest beach is 1,300 ft from Aquamare Beach Hotel & Spa.",8.5,https://www.booking.com/hotel/cy/aquamare-beach-spa.html?aid=2438770&checkin=2026-09-14&checkout=2026-09-25&no_rooms=1&group_adults=2&selected_currency=PLN
Cypr,14,A — super: plaża / ocena / okolica,Aquamare Beach Hotel & Spa,11125.92,8.4,2021,Pralnia/usługa prania w obiekcie; pralka w pokoju niepotwierdzona,False,False,True,False,True,True,False,True,"The nearest beach is 1,300 ft from Aquamare Beach Hotel & Spa.",8.5,https://www.booking.com/hotel/cy/aquamare-beach-spa.html?aid=2438770&checkin=2026-09-14&checkout=2026-09-28&no_rooms=1&group_adults=2&selected_currency=PLN
Cypr,8,A — super: plaża / ocena / okolica,Ariadne Apartments,3053.89,8.3,184,Pralnia/usługa prania w obiekcie; pralka w pokoju niepotwierdzona,False,False,True,True,True,True,True,True,"The nearest beach is 1,000 ft from Ariadne Apartments.",10.0,https://www.booking.com/hotel/cy/ariadne-maisonette.html?aid=2438770&checkin=2026-09-14&checkout=2026-09-22&no_rooms=1&group_adults=2&selected_currency=PLN
Cypr,11,A — super: plaża / ocena / okolica,Ariadne Apartments,4199.10,8.3,184,Pralnia/usługa prania w obiekcie; pralka w pokoju niepotwierdzona,False,False,True,True,True,True,True,True,"The nearest beach is 1,000 ft from Ariadne Apartments.",10.0,https://www.booking.com/hotel/cy/ariadne-maisonette.html?aid=2438770&checkin=2026-09-14&checkout=2026-09-25&no_rooms=1&group_adults=2&selected_currency=PLN
Cypr,14,A — super: plaża / ocena / okolica,Ariadne Apartments,5726.05,8.3,184,Pralnia/usługa prania w obiekcie; pralka w pokoju niepotwierdzona,False,False,True,True,True,True,True,True,"The nearest beach is 1,000 ft from Ariadne Apartments.",10.0,https://www.booking.com/hotel/cy/ariadne-maisonette.html?aid=2438770&checkin=2026-09-14&checkout=2026-09-28&no_rooms=1&group_adults=2&selected_currency=PLN
Cypr,8,A — super: plaża / ocena / okolica,Leonardo Plaza Cypria Maris Beach Hotel & Spa,11175.89,9.0,4269,Pralnia/usługa prania w obiekcie; pralka w pokoju niepotwierdzona,False,False,True,False,False,True,True,True,The nearest beach is 650 ft from Leonardo Plaza Cypria Maris Beach Hotel & Spa.,8.2,https://www.booking.com/hotel/cy/cyprotels-hotels-and-resorts.html?aid=2438770&checkin=2026-09-14&checkout=2026-09-22&no_rooms=1&group_adults=2&selected_currency=PLN
