kraj,dni,wariant,nazwa,cena_pln,ocena_booking,opinie_booking,status_prania,pralka_potwierdzona,pralka_tylko_opinia,usluga_prania,kuchnia,prywatna_lazienka,beachfront,sea_view,parking,plaza_booking,ocena_wyboru_1_10,link
Cypr,8,A — super: plaża / ocena / okolica,Queens Bay Hotel,5586.00,9,137,Pralnia/usługa prania potwierdzona w udogodnieniach obiektu,False,False,True,True,True,True,True,True,"The nearest beach is 1,000 ft from Queens Bay Hotel.",9.7,https://www.booking.com/hotel/cy/queensbay.html?aid=2438770&checkin=2026-09-14&checkout=2026-09-22&no_rooms=1&group_adults=2&selected_currency=PLN
Cypr,11,A — super: plaża / ocena / okolica,Queens Bay Hotel,7611.00,9,137,Pralnia/usługa prania potwierdzona w udogodnieniach obiektu,False,False,True,True,True,True,True,True,"The nearest beach is 1,000 ft from Queens Bay Hotel.",9.7,https://www.booking.com/hotel/cy/queensbay.html?aid=2438770&checkin=2026-09-14&checkout=2026-09-25&no_rooms=1&group_adults=2&selected_currency=PLN
Cypr,14,A — super: plaża / ocena / okolica,Queens Bay Hotel,9690.00,9,137,Pralnia/usługa prania potwierdzona w udogodnieniach obiektu,False,False,True,True,True,True,True,True,"The nearest beach is 1,000 ft from Queens Bay Hotel.",9.7,https://www.booking.com/hotel/cy/queensbay.html?aid=2438770&checkin=2026-09-14&checkout=2026-09-28&no_rooms=1&group_adults=2&selected_currency=PLN
Cypr,8,A — super: plaża / ocena / okolica,Capital Coast Resort And Spa,4886.00,7.8,970,Pralnia/usługa prania potwierdzona w udogodnieniach obiektu,False,False,True,True,True,True,True,True,The nearest beach is 650 ft from Capital Coast Resort And Spa.,8.5,https://www.booking.com/hotel/cy/capital-coast-resort-and-spa.html?aid=2438770&checkin=2026-09-14&checkout=2026-09-22&no_rooms=1&group_adults=2&selected_currency=PLN
Cypr,11,A — super: plaża / ocena / okolica,Capital Coast Resort And Spa,6719.00,7.8,970,Pralnia/usługa prania potwierdzona w udogodnieniach obiektu,False,False,True,True,True,True,True,True,The nearest beach is 650 ft from Capital Coast Resort And Spa.,8.5,https://www.booking.com/hotel/cy/capital-coast-resort-and-spa.html?aid=2438770&checkin=2026-09-14&checkout=2026-09-25&no_rooms=1&group_adults=2&selected_currency=PLN
Cypr,14,A — super: plaża / ocena / okolica,Capital Coast Resort And Spa,8551.00,7.8,970,Pralnia/usługa prania potwierdzona w udogodnieniach obiektu,False,False,True,True,True,True,True,True,The nearest beach is 650 ft from Capital Coast Resort And Spa.,8.5,https://www.booking.com/hotel/cy/capital-coast-resort-and-spa.html?aid=2438770&checkin=2026-09-14&checkout=2026-09-28&no_rooms=1&group_adults=2&selected_currency=PLN
Cypr,8,A — super: plaża / ocena / okolica,Helios Bay Hotel and Suites,3529.00,8.8,774,Pralnia/usługa prania potwierdzona w udogodnieniach obiektu,False,False,True,True,True,True,True,True,"The nearest beach is 2,300 ft from Helios Bay Hotel and Suites.",9.8,https://www.booking.com/hotel/cy/helios-bay.html?aid=2438770&checkin=2026-09-14&checkout=2026-09-22&no_rooms=1&group_adults=2&selected_currency=PLN
Cypr,11,A — super: plaża / ocena / okolica,Helios Bay Hotel and Suites,4852.00,8.8,774,Pralnia/usługa prania potwierdzona w udogodnieniach obiektu,False,False,True,True,True,True,True,True,"The nearest beach is 2,300 ft from Helios Bay Hotel and Suites.",9.8,https://www.booking.com/hotel/cy/helios-bay.html?aid=2438770&checkin=2026-09-14&checkout=2026-09-25&no_rooms=1&group_adults=2&selected_currency=PLN
Cypr,14,A — super: plaża / ocena / okolica,Helios Bay Hotel and Suites,6176.00,8.8,774,Pralnia/usługa prania potwierdzona w udogodnieniach obiektu,False,False,True,True,True,True,True,True,"The nearest beach is 2,300 ft from Helios Bay Hotel and Suites.",9.8,https://www.booking.com/hotel/cy/helios-bay.html?aid=2438770&checkin=2026-09-14&checkout=2026-09-28&no_rooms=1&group_adults=2&selected_currency=PLN
Cypr,8,A — super: plaża / ocena / okolica,Aquamare Beach Hotel & Spa,5702.00,8.4,23,Pralnia/usługa prania potwierdzona w udogodnieniach obiektu,False,False,True,True,True,True,True,True,"The nearest beach is 1,300 ft from Aquamare Beach Hotel & Spa.",8.5,https://www.booking.com/hotel/cy/aquamare-beach-spa.html?aid=2438770&checkin=2026-09-14&checkout=2026-09-22&no_rooms=1&group_adults=2&selected_currency=PLN
