kraj,dni,wariant,nazwa,cena_pln,ocena_booking,opinie_booking,status_prania,pralka_potwierdzona,pralka_tylko_opinia,usluga_prania,kuchnia,prywatna_lazienka,beachfront,sea_view,parking,plaza_booking,ocena_wyboru_1_10,link
Grecja,8,A — super: plaża / ocena / okolica,Porto Koukla Beach,3715.23,8.2,237,Pralnia/usługa prania w obiekcie; pralka w pokoju niepotwierdzona,False,False,True,False,True,True,True,True,The nearest beach is 350 ft from Porto Koukla Beach.,8.9,https://www.booking.com/hotel/gr/porto-koukla-beach.html?aid=2438770&checkin=2026-09-12&checkout=2026-09-20&no_rooms=1&group_adults=2&selected_currency=PLN
Grecja,11,A — super: plaża / ocena / okolica,Porto Koukla Beach,5108.44,8.2,237,Pralnia/usługa prania w obiekcie; pralka w pokoju niepotwierdzona,False,False,True,False,True,True,True,True,The nearest beach is 350 ft from Porto Koukla Beach.,8.9,https://www.booking.com/hotel/gr/porto-koukla-beach.html?aid=2438770&checkin=2026-09-12&checkout=2026-09-23&no_rooms=1&group_adults=2&selected_currency=PLN
Grecja,14,A — super: plaża / ocena / okolica,Porto Koukla Beach,6501.65,8.2,237,Pralnia/usługa prania w obiekcie; pralka w pokoju niepotwierdzona,False,False,True,False,True,True,True,True,The nearest beach is 350 ft from Porto Koukla Beach.,8.9,https://www.booking.com/hotel/gr/porto-koukla-beach.html?aid=2438770&checkin=2026-09-12&checkout=2026-09-26&no_rooms=1&group_adults=2&selected_currency=PLN
Grecja,8,A — super: plaża / ocena / okolica,Agoulos Beach Hotel,2750.5,9.6,30,Brak pralki/pralni w pobranej karcie,False,False,False,False,True,True,True,True,The nearest beach is 0.,10.0,https://www.booking.com/hotel/gr/agoulos-inn.html?aid=2438770&checkin=2026-09-12&checkout=2026-09-20&no_rooms=1&group_adults=2&selected_currency=PLN
Grecja,11,A — super: plaża / ocena / okolica,Agoulos Beach Hotel,3697.46,9.6,30,Brak pralki/pralni w pobranej karcie,False,False,False,False,True,True,True,True,The nearest beach is 0.,10.0,https://www.booking.com/hotel/gr/agoulos-inn.html?aid=2438770&checkin=2026-09-12&checkout=2026-09-23&no_rooms=1&group_adults=2&selected_currency=PLN
Grecja,14,A — super: plaża / ocena / okolica,Agoulos Beach Hotel,4644.42,9.6,30,Brak pralki/pralni w pobranej karcie,False,False,False,False,True,True,True,True,The nearest beach is 0.,10.0,https://www.booking.com/hotel/gr/agoulos-inn.html?aid=2438770&checkin=2026-09-12&checkout=2026-09-26&no_rooms=1&group_adults=2&selected_currency=PLN
Grecja,8,A — super: plaża / ocena / okolica,Belussi Beach Hotel & Suites,4871.0,8.4,653,Pralnia/usługa prania w obiekcie; pralka w pokoju niepotwierdzona,False,False,True,False,True,True,True,False,"The nearest beach is 1,000 ft from Belussi Beach Hotel & Suites.",8.6,https://www.booking.com/hotel/gr/belussi-beach.html?aid=2438770&checkin=2026-09-12&checkout=2026-09-20&no_rooms=1&group_adults=2&selected_currency=PLN
Grecja,11,A — super: plaża / ocena / okolica,Belussi Beach Hotel & Suites,6608.16,8.4,653,Pralnia/usługa prania w obiekcie; pralka w pokoju niepotwierdzona,False,False,True,False,True,True,True,False,"The nearest beach is 1,000 ft from Belussi Beach Hotel & Suites.",8.6,https://www.booking.com/hotel/gr/belussi-beach.html?aid=2438770&checkin=2026-09-12&checkout=2026-09-23&no_rooms=1&group_adults=2&selected_currency=PLN
Grecja,14,A — super: plaża / ocena / okolica,Belussi Beach Hotel & Suites,8345.35,8.4,653,Pralnia/usługa prania w obiekcie; pralka w pokoju niepotwierdzona,False,False,True,False,True,True,True,False,"The nearest beach is 1,000 ft from Belussi Beach Hotel & Suites.",8.6,https://www.booking.com/hotel/gr/belussi-beach.html?aid=2438770&checkin=2026-09-12&checkout=2026-09-26&no_rooms=1&group_adults=2&selected_currency=PLN
Grecja,8,A — super: plaża / ocena / okolica,Zakantha Beach,,8.3,143,Brak pralki/pralni w pobranej karcie,False,False,False,False,True,True,False,True,The nearest beach is 150 ft from Zakantha Beach.,8.8,https://www.booking.com/hotel/gr/zakantha-beach.html?aid=2438770&checkin=2026-09-12&checkout=2026-09-20&no_rooms=1&group_adults=2&selected_currency=PLN
Grecja,11,A — super: plaża / ocena / okolica,Zakantha Beach,,8.3,143,Brak pralki/pralni w pobranej karcie,False,False,False,False,True,True,False,True,The nearest beach is 150 ft from Zakantha Beach.,8.8,https://www.booking.com/hotel/gr/zakantha-beach.html?aid=2438770&checkin=2026-09-12&checkout=2026-09-23&no_rooms=1&group_adults=2&selected_currency=PLN
Grecja,14,A — super: plaża / ocena / okolica,Zakantha Beach,7120.0,8.3,143,Brak pralki/pralni w pobranej karcie,False,False,False,False,True,True,False,True,The nearest beach is 150 ft from Zakantha Beach.,8.8,https://www.booking.com/hotel/gr/zakantha-beach.html?aid=2438770&checkin=2026-09-12&checkout=2026-09-26&no_rooms=1&group_adults=2&selected_currency=PLN
Grecja,8,A — super: plaża / ocena / okolica,Calypso Studios,2680.64,9.6,292,Brak pralki/pralni w pobranej karcie,False,False,False,True,True,True,True,True,The nearest beach is 350 ft from Calypso Studios.,10.0,https://www.booking.com/hotel/gr/calypso-studios-amoudi.html?aid=2438770&checkin=2026-09-12&checkout=2026-09-20&no_rooms=1&group_adults=2&selected_currency=PLN
Grecja,11,A — super: plaża / ocena / okolica,Calypso Studios,3622.26,9.6,292,Brak pralki/pralni w pobranej karcie,False,False,False,True,True,True,True,True,The nearest beach is 350 ft from Calypso Studios.,10.0,https://www.booking.com/hotel/gr/calypso-studios-amoudi.html?aid=2438770&checkin=2026-09-12&checkout=2026-09-23&no_rooms=1&group_adults=2&selected_currency=PLN
Grecja,14,A — super: plaża / ocena / okolica,Calypso Studios,4563.87,9.6,292,Brak pralki/pralni w pobranej karcie,False,False,False,True,True,True,True,True,The nearest beach is 350 ft from Calypso Studios.,10.0,https://www.booking.com/hotel/gr/calypso-studios-amoudi.html?aid=2438770&checkin=2026-09-12&checkout=2026-09-26&no_rooms=1&group_adults=2&selected_currency=PLN
Grecja,8,A — super: plaża / ocena / okolica,Nefeli Beach - living by the sea,3534.33,8.0,615,Brak pralki/pralni w pobranej karcie,False,False,False,False,True,True,True,True,The nearest beach is 0.,8.8,https://www.booking.com/hotel/gr/nephele-zakinthos.html?aid=2438770&checkin=2026-09-12&checkout=2026-09-20&no_rooms=1&group_adults=2&selected_currency=PLN
Grecja,11,A — super: plaża / ocena / okolica,Nefeli Beach - living by the sea,4665.2,8.0,615,Brak pralki/pralni w pobranej karcie,False,False,False,False,True,True,True,True,The nearest beach is 0.,8.8,https://www.booking.com/hotel/gr/nephele-zakinthos.html?aid=2438770&checkin=2026-09-12&checkout=2026-09-23&no_rooms=1&group_adults=2&selected_currency=PLN
Grecja,14,A — super: plaża / ocena / okolica,Nefeli Beach - living by the sea,5729.36,8.0,615,Brak pralki/pralni w pobranej karcie,False,False,False,False,True,True,True,True,The nearest beach is 0.,8.8,https://www.booking.com/hotel/gr/nephele-zakinthos.html?aid=2438770&checkin=2026-09-12&checkout=2026-09-26&no_rooms=1&group_adults=2&selected_currency=PLN
Grecja,8,A — super: plaża / ocena / okolica,Iliessa Beach Hotel,3435.63,8.2,31,Brak pralki/pralni w pobranej karcie,False,False,False,False,False,True,True,False,"The nearest beach is 1,300 ft from Iliessa Beach Hotel.",8.8,https://www.booking.com/hotel/gr/iliessa-beach.html?aid=2438770&checkin=2026-09-12&checkout=2026-09-20&no_rooms=1&group_adults=2&selected_currency=PLN
Grecja,11,A — super: plaża / ocena / okolica,Iliessa Beach Hotel,4672.46,8.2,31,Brak pralki/pralni w pobranej karcie,False,False,False,False,False,True,True,False,"The nearest beach is 1,300 ft from Iliessa Beach Hotel.",8.8,https://www.booking.com/hotel/gr/iliessa-beach.html?aid=2438770&checkin=2026-09-12&checkout=2026-09-23&no_rooms=1&group_adults=2&selected_currency=PLN
Grecja,14,A — super: plaża / ocena / okolica,Iliessa Beach Hotel,5909.28,8.2,31,Brak pralki/pralni w pobranej karcie,False,False,False,False,False,True,True,False,"The nearest beach is 1,300 ft from Iliessa Beach Hotel.",8.8,https://www.booking.com/hotel/gr/iliessa-beach.html?aid=2438770&checkin=2026-09-12&checkout=2026-09-26&no_rooms=1&group_adults=2&selected_currency=PLN
Grecja,8,A — super: plaża / ocena / okolica,Dante's Maisonettes,4139.72,8.9,25,Brak pralki/pralni w pobranej karcie,False,False,False,True,True,True,True,True,The nearest beach is 150 ft from Dante's Maisonettes.,9.6,https://www.booking.com/hotel/gr/dante-s-maisonettes.html?aid=2438770&checkin=2026-09-12&checkout=2026-09-20&no_rooms=1&group_adults=2&selected_currency=PLN
Grecja,11,A — super: plaża / ocena / okolica,Dante's Maisonettes,5628.49,8.9,25,Brak pralki/pralni w pobranej karcie,False,False,False,True,True,True,True,True,The nearest beach is 150 ft from Dante's Maisonettes.,9.6,https://www.booking.com/hotel/gr/dante-s-maisonettes.html?aid=2438770&checkin=2026-09-12&checkout=2026-09-23&no_rooms=1&group_adults=2&selected_currency=PLN
Grecja,14,A — super: plaża / ocena / okolica,Dante's Maisonettes,6990.02,8.9,25,Brak pralki/pralni w pobranej karcie,False,False,False,True,True,True,True,True,The nearest beach is 150 ft from Dante's Maisonettes.,9.6,https://www.booking.com/hotel/gr/dante-s-maisonettes.html?aid=2438770&checkin=2026-09-12&checkout=2026-09-26&no_rooms=1&group_adults=2&selected_currency=PLN
Grecja,8,A — super: plaża / ocena / okolica,Gloria Maris Hotel Suites and Villas,7332.1,7.6,530,Brak pralki/pralni w pobranej karcie,False,False,False,False,True,True,True,True,The nearest beach is 350 ft from Gloria Maris Hotel Suites and Villas.,6.8,https://www.booking.com/hotel/gr/gloriamaris.html?aid=2438770&checkin=2026-09-12&checkout=2026-09-20&no_rooms=1&group_adults=2&selected_currency=PLN
Grecja,11,A — super: plaża / ocena / okolica,Gloria Maris Hotel Suites and Villas,9911.32,7.6,530,Brak pralki/pralni w pobranej karcie,False,False,False,False,True,True,True,True,The nearest beach is 350 ft from Gloria Maris Hotel Suites and Villas.,6.8,https://www.booking.com/hotel/gr/gloriamaris.html?aid=2438770&checkin=2026-09-12&checkout=2026-09-23&no_rooms=1&group_adults=2&selected_currency=PLN
Grecja,14,A — super: plaża / ocena / okolica,Gloria Maris Hotel Suites and Villas,12405.38,7.6,530,Brak pralki/pralni w pobranej karcie,False,False,False,False,True,True,True,True,The nearest beach is 350 ft from Gloria Maris Hotel Suites and Villas.,6.8,https://www.booking.com/hotel/gr/gloriamaris.html?aid=2438770&checkin=2026-09-12&checkout=2026-09-26&no_rooms=1&group_adults=2&selected_currency=PLN
Grecja,8,A — super: plaża / ocena / okolica,Fiore Beach Studios,4214.37,8.9,220,Brak pralki/pralni w pobranej karcie,False,False,False,True,True,True,True,True,The nearest beach is 150 ft from Fiore Beach Studios.,9.6,https://www.booking.com/hotel/gr/fiore-beach.html?aid=2438770&checkin=2026-09-12&checkout=2026-09-20&no_rooms=1&group_adults=2&selected_currency=PLN
Grecja,11,A — super: plaża / ocena / okolica,Fiore Beach Studios,5742.93,8.9,220,Brak pralki/pralni w pobranej karcie,False,False,False,True,True,True,True,True,The nearest beach is 150 ft from Fiore Beach Studios.,9.6,https://www.booking.com/hotel/gr/fiore-beach.html?aid=2438770&checkin=2026-09-12&checkout=2026-09-23&no_rooms=1&group_adults=2&selected_currency=PLN
Grecja,14,A — super: plaża / ocena / okolica,Fiore Beach Studios,7167.82,8.9,220,Brak pralki/pralni w pobranej karcie,False,False,False,True,True,True,True,True,The nearest beach is 150 ft from Fiore Beach Studios.,9.6,https://www.booking.com/hotel/gr/fiore-beach.html?aid=2438770&checkin=2026-09-12&checkout=2026-09-26&no_rooms=1&group_adults=2&selected_currency=PLN
