kraj,dni,wariant,nazwa,cena_pln,ocena_booking,opinie_booking,status_prania,pralka_potwierdzona,pralka_tylko_opinia,usluga_prania,kuchnia,prywatna_lazienka,beachfront,sea_view,parking,plaza_booking,ocena_wyboru_1_10,link
Grecja,8,A — super: plaża / ocena / okolica,Porto Koukla Beach,3361.00,8.2,237,Pralnia/usługa prania potwierdzona w udogodnieniach obiektu,False,False,True,False,True,True,True,True,The nearest beach is 350 ft from Porto Koukla Beach.,8.9,https://www.booking.com/hotel/gr/porto-koukla-beach.html?aid=2438770&checkin=2026-09-12&checkout=2026-09-20&no_rooms=1&group_adults=2&selected_currency=PLN
Grecja,11,A — super: plaża / ocena / okolica,Porto Koukla Beach,4621.00,8.2,237,Pralnia/usługa prania potwierdzona w udogodnieniach obiektu,False,False,True,False,True,True,True,True,The nearest beach is 350 ft from Porto Koukla Beach.,8.9,https://www.booking.com/hotel/gr/porto-koukla-beach.html?aid=2438770&checkin=2026-09-12&checkout=2026-09-23&no_rooms=1&group_adults=2&selected_currency=PLN
Grecja,14,A — super: plaża / ocena / okolica,Porto Koukla Beach,5881.00,8.2,237,Pralnia/usługa prania potwierdzona w udogodnieniach obiektu,False,False,True,False,True,True,True,True,The nearest beach is 350 ft from Porto Koukla Beach.,8.9,https://www.booking.com/hotel/gr/porto-koukla-beach.html?aid=2438770&checkin=2026-09-12&checkout=2026-09-26&no_rooms=1&group_adults=2&selected_currency=PLN
Grecja,8,A — super: plaża / ocena / okolica,Agoulos Beach Hotel,2113.00,9.4,31,Brak pralki/pralni w udogodnieniach obiektu,False,False,False,True,True,True,True,True,The nearest beach is 0.,10.0,https://www.booking.com/hotel/gr/agoulos-inn.html?aid=2438770&checkin=2026-09-12&checkout=2026-09-20&no_rooms=1&group_adults=2&selected_currency=PLN
Grecja,11,A — super: plaża / ocena / okolica,Agoulos Beach Hotel,2857.00,9.4,31,Brak pralki/pralni w udogodnieniach obiektu,False,False,False,True,True,True,True,True,The nearest beach is 0.,10.0,https://www.booking.com/hotel/gr/agoulos-inn.html?aid=2438770&checkin=2026-09-12&checkout=2026-09-23&no_rooms=1&group_adults=2&selected_currency=PLN
Grecja,14,A — super: plaża / ocena / okolica,Agoulos Beach Hotel,3600.00,9.4,31,Brak pralki/pralni w udogodnieniach obiektu,False,False,False,True,True,True,True,True,The nearest beach is 0.,10.0,https://www.booking.com/hotel/gr/agoulos-inn.html?aid=2438770&checkin=2026-09-12&checkout=2026-09-26&no_rooms=1&group_adults=2&selected_currency=PLN
Grecja,8,A — super: plaża / ocena / okolica,Belussi Beach Hotel & Suites,4016.00,8.4,652,Pralnia/usługa prania potwierdzona w udogodnieniach obiektu,False,False,True,True,True,True,True,True,"The nearest beach is 1,000 ft from Belussi Beach Hotel & Suites.",8.6,https://www.booking.com/hotel/gr/belussi-beach.html?aid=2438770&checkin=2026-09-12&checkout=2026-09-20&no_rooms=1&group_adults=2&selected_currency=PLN
Grecja,11,A — super: plaża / ocena / okolica,Belussi Beach Hotel & Suites,5450.00,8.4,652,Pralnia/usługa prania potwierdzona w udogodnieniach obiektu,False,False,True,True,True,True,True,True,"The nearest beach is 1,000 ft from Belussi Beach Hotel & Suites.",8.6,https://www.booking.com/hotel/gr/belussi-beach.html?aid=2438770&checkin=2026-09-12&checkout=2026-09-23&no_rooms=1&group_adults=2&selected_currency=PLN
Grecja,14,A — super: plaża / ocena / okolica,Belussi Beach Hotel & Suites,6883.00,8.4,652,Pralnia/usługa prania potwierdzona w udogodnieniach obiektu,False,False,True,True,True,True,True,True,"The nearest beach is 1,000 ft from Belussi Beach Hotel & Suites.",8.6,https://www.booking.com/hotel/gr/belussi-beach.html?aid=2438770&checkin=2026-09-12&checkout=2026-09-26&no_rooms=1&group_adults=2&selected_currency=PLN
Grecja,8,A — super: plaża / ocena / okolica,Zakantha Beach,-1,8.3,143,Brak pralki/pralni w udogodnieniach obiektu,False,False,False,True,True,True,True,True,The nearest beach is 150 ft from Zakantha Beach.,8.8,https://www.booking.com/hotel/gr/zakantha-beach.html?aid=2438770&checkin=2026-09-12&checkout=2026-09-20&no_rooms=1&group_adults=2&selected_currency=PLN
Grecja,11,A — super: plaża / ocena / okolica,Zakantha Beach,-1,8.3,143,Brak pralki/pralni w udogodnieniach obiektu,False,False,False,True,True,True,True,True,The nearest beach is 150 ft from Zakantha Beach.,8.8,https://www.booking.com/hotel/gr/zakantha-beach.html?aid=2438770&checkin=2026-09-12&checkout=2026-09-23&no_rooms=1&group_adults=2&selected_currency=PLN
Grecja,14,A — super: plaża / ocena / okolica,Zakantha Beach,-1,8.3,143,Brak pralki/pralni w udogodnieniach obiektu,False,False,False,True,True,True,True,True,The nearest beach is 150 ft from Zakantha Beach.,8.8,https://www.booking.com/hotel/gr/zakantha-beach.html?aid=2438770&checkin=2026-09-12&checkout=2026-09-26&no_rooms=1&group_adults=2&selected_currency=PLN
Grecja,8,A — super: plaża / ocena / okolica,Calypso Studios,2440.00,9.6,292,Brak pralki/pralni w udogodnieniach obiektu,False,False,False,True,True,True,True,True,The nearest beach is 350 ft from Calypso Studios.,10.0,https://www.booking.com/hotel/gr/calypso-studios-amoudi.html?aid=2438770&checkin=2026-09-12&checkout=2026-09-20&no_rooms=1&group_adults=2&selected_currency=PLN
Grecja,11,A — super: plaża / ocena / okolica,Calypso Studios,3297.00,9.6,292,Brak pralki/pralni w udogodnieniach obiektu,False,False,False,True,True,True,True,True,The nearest beach is 350 ft from Calypso Studios.,10.0,https://www.booking.com/hotel/gr/calypso-studios-amoudi.html?aid=2438770&checkin=2026-09-12&checkout=2026-09-23&no_rooms=1&group_adults=2&selected_currency=PLN
Grecja,14,A — super: plaża / ocena / okolica,Calypso Studios,4155.00,9.6,292,Brak pralki/pralni w udogodnieniach obiektu,False,False,False,True,True,True,True,True,The nearest beach is 350 ft from Calypso Studios.,10.0,https://www.booking.com/hotel/gr/calypso-studios-amoudi.html?aid=2438770&checkin=2026-09-12&checkout=2026-09-26&no_rooms=1&group_adults=2&selected_currency=PLN
Grecja,8,A — super: plaża / ocena / okolica,Nefeli Beach - living by the sea,3030.00,8,614,Brak pralki/pralni w udogodnieniach obiektu,False,False,False,True,True,True,True,True,The nearest beach is 0.,8.8,https://www.booking.com/hotel/gr/nephele-zakinthos.html?aid=2438770&checkin=2026-09-12&checkout=2026-09-20&no_rooms=1&group_adults=2&selected_currency=PLN
Grecja,11,A — super: plaża / ocena / okolica,Nefeli Beach - living by the sea,4000.00,8,614,Brak pralki/pralni w udogodnieniach obiektu,False,False,False,True,True,True,True,True,The nearest beach is 0.,8.8,https://www.booking.com/hotel/gr/nephele-zakinthos.html?aid=2438770&checkin=2026-09-12&checkout=2026-09-23&no_rooms=1&group_adults=2&selected_currency=PLN
Grecja,14,A — super: plaża / ocena / okolica,Nefeli Beach - living by the sea,4914.00,8,614,Brak pralki/pralni w udogodnieniach obiektu,False,False,False,True,True,True,True,True,The nearest beach is 0.,8.8,https://www.booking.com/hotel/gr/nephele-zakinthos.html?aid=2438770&checkin=2026-09-12&checkout=2026-09-26&no_rooms=1&group_adults=2&selected_currency=PLN
Grecja,8,A — super: plaża / ocena / okolica,Iliessa Beach Hotel,2694.00,8.2,31,Brak pralki/pralni w udogodnieniach obiektu,False,False,False,True,True,True,True,True,"The nearest beach is 1,300 ft from Iliessa Beach Hotel.",8.8,https://www.booking.com/hotel/gr/iliessa-beach.html?aid=2438770&checkin=2026-09-12&checkout=2026-09-20&no_rooms=1&group_adults=2&selected_currency=PLN
Grecja,11,A — super: plaża / ocena / okolica,Iliessa Beach Hotel,3661.00,8.2,31,Brak pralki/pralni w udogodnieniach obiektu,False,False,False,True,True,True,True,True,"The nearest beach is 1,300 ft from Iliessa Beach Hotel.",8.8,https://www.booking.com/hotel/gr/iliessa-beach.html?aid=2438770&checkin=2026-09-12&checkout=2026-09-23&no_rooms=1&group_adults=2&selected_currency=PLN
Grecja,14,A — super: plaża / ocena / okolica,Iliessa Beach Hotel,4627.00,8.2,31,Brak pralki/pralni w udogodnieniach obiektu,False,False,False,True,True,True,True,True,"The nearest beach is 1,300 ft from Iliessa Beach Hotel.",8.8,https://www.booking.com/hotel/gr/iliessa-beach.html?aid=2438770&checkin=2026-09-12&checkout=2026-09-26&no_rooms=1&group_adults=2&selected_currency=PLN
Grecja,8,A — super: plaża / ocena / okolica,Dante's Maisonettes,3733.00,8.9,25,Brak pralki/pralni w udogodnieniach obiektu,False,False,False,True,True,True,True,True,The nearest beach is 150 ft from Dante's Maisonettes.,9.6,https://www.booking.com/hotel/gr/dante-s-maisonettes.html?aid=2438770&checkin=2026-09-12&checkout=2026-09-20&no_rooms=1&group_adults=2&selected_currency=PLN
Grecja,11,A — super: plaża / ocena / okolica,Dante's Maisonettes,5075.00,8.9,25,Brak pralki/pralni w udogodnieniach obiektu,False,False,False,True,True,True,True,True,The nearest beach is 150 ft from Dante's Maisonettes.,9.6,https://www.booking.com/hotel/gr/dante-s-maisonettes.html?aid=2438770&checkin=2026-09-12&checkout=2026-09-23&no_rooms=1&group_adults=2&selected_currency=PLN
Grecja,14,A — super: plaża / ocena / okolica,Dante's Maisonettes,6303.00,8.9,25,Brak pralki/pralni w udogodnieniach obiektu,False,False,False,True,True,True,True,True,The nearest beach is 150 ft from Dante's Maisonettes.,9.6,https://www.booking.com/hotel/gr/dante-s-maisonettes.html?aid=2438770&checkin=2026-09-12&checkout=2026-09-26&no_rooms=1&group_adults=2&selected_currency=PLN
Grecja,8,A — super: plaża / ocena / okolica,Gloria Maris Hotel Suites and Villas,6633.00,7.6,528,Brak pralki/pralni w udogodnieniach obiektu,False,False,False,True,True,True,True,True,The nearest beach is 350 ft from Gloria Maris Hotel Suites and Villas.,6.8,https://www.booking.com/hotel/gr/gloriamaris.html?aid=2438770&checkin=2026-09-12&checkout=2026-09-20&no_rooms=1&group_adults=2&selected_currency=PLN
Grecja,11,A — super: plaża / ocena / okolica,Gloria Maris Hotel Suites and Villas,8967.00,7.6,528,Brak pralki/pralni w udogodnieniach obiektu,False,False,False,True,True,True,True,True,The nearest beach is 350 ft from Gloria Maris Hotel Suites and Villas.,6.8,https://www.booking.com/hotel/gr/gloriamaris.html?aid=2438770&checkin=2026-09-12&checkout=2026-09-23&no_rooms=1&group_adults=2&selected_currency=PLN
Grecja,14,A — super: plaża / ocena / okolica,Gloria Maris Hotel Suites and Villas,11224.00,7.6,528,Brak pralki/pralni w udogodnieniach obiektu,False,False,False,True,True,True,True,True,The nearest beach is 350 ft from Gloria Maris Hotel Suites and Villas.,6.8,https://www.booking.com/hotel/gr/gloriamaris.html?aid=2438770&checkin=2026-09-12&checkout=2026-09-26&no_rooms=1&group_adults=2&selected_currency=PLN
Grecja,8,A — super: plaża / ocena / okolica,Fiore Beach Studios,3427.00,8.9,221,Brak pralki/pralni w udogodnieniach obiektu,False,False,False,True,True,True,True,True,The nearest beach is 150 ft from Fiore Beach Studios.,9.6,https://www.booking.com/hotel/gr/fiore-beach.html?aid=2438770&checkin=2026-09-12&checkout=2026-09-20&no_rooms=1&group_adults=2&selected_currency=PLN
Grecja,11,A — super: plaża / ocena / okolica,Fiore Beach Studios,4711.00,8.9,221,Brak pralki/pralni w udogodnieniach obiektu,False,False,False,True,True,True,True,True,The nearest beach is 150 ft from Fiore Beach Studios.,9.6,https://www.booking.com/hotel/gr/fiore-beach.html?aid=2438770&checkin=2026-09-12&checkout=2026-09-23&no_rooms=1&group_adults=2&selected_currency=PLN
Grecja,14,A — super: plaża / ocena / okolica,Fiore Beach Studios,5996.00,8.9,221,Brak pralki/pralni w udogodnieniach obiektu,False,False,False,True,True,True,True,True,The nearest beach is 150 ft from Fiore Beach Studios.,9.6,https://www.booking.com/hotel/gr/fiore-beach.html?aid=2438770&checkin=2026-09-12&checkout=2026-09-26&no_rooms=1&group_adults=2&selected_currency=PLN
Grecja,8,B — rozsądnie: lokalizacja / opinia / pralka preferowana,Dakis Studios,1595.00,9.4,267,Pralnia i pralka potwierdzone w udogodnieniach obiektu,True,False,True,True,True,False,True,True,The nearest beach is 650 ft from Dakis Studios.,10.0,https://www.booking.com/hotel/gr/dakis-studios.html?aid=2438770&checkin=2026-09-12&checkout=2026-09-20&no_rooms=1&group_adults=2&selected_currency=PLN
Grecja,11,B — rozsądnie: lokalizacja / opinia / pralka preferowana,Dakis Studios,2193.00,9.4,267,Pralnia i pralka potwierdzone w udogodnieniach obiektu,True,False,True,True,True,False,True,True,The nearest beach is 650 ft from Dakis Studios.,10.0,https://www.booking.com/hotel/gr/dakis-studios.html?aid=2438770&checkin=2026-09-12&checkout=2026-09-23&no_rooms=1&group_adults=2&selected_currency=PLN
Grecja,14,B — rozsądnie: lokalizacja / opinia / pralka preferowana,Dakis Studios,2791.00,9.4,267,Pralnia i pralka potwierdzone w udogodnieniach obiektu,True,False,True,True,True,False,True,True,The nearest beach is 650 ft from Dakis Studios.,10.0,https://www.booking.com/hotel/gr/dakis-studios.html?aid=2438770&checkin=2026-09-12&checkout=2026-09-26&no_rooms=1&group_adults=2&selected_currency=PLN
Grecja,8,B — rozsądnie: lokalizacja / opinia / pralka preferowana,Aktipis Studios 1,1798.00,9.7,40,Brak pralki/pralni w udogodnieniach obiektu,False,False,False,True,True,False,True,True,"The nearest beach is 1,650 ft from Aktipis Studios 1.",10.0,https://www.booking.com/hotel/gr/aktipis-studios-1.html?aid=2438770&checkin=2026-09-12&checkout=2026-09-20&no_rooms=1&group_adults=2&selected_currency=PLN
Grecja,11,B — rozsądnie: lokalizacja / opinia / pralka preferowana,Aktipis Studios 1,2473.00,9.7,40,Brak pralki/pralni w udogodnieniach obiektu,False,False,False,True,True,False,True,True,"The nearest beach is 1,650 ft from Aktipis Studios 1.",10.0,https://www.booking.com/hotel/gr/aktipis-studios-1.html?aid=2438770&checkin=2026-09-12&checkout=2026-09-23&no_rooms=1&group_adults=2&selected_currency=PLN
Grecja,14,B — rozsądnie: lokalizacja / opinia / pralka preferowana,Aktipis Studios 1,3147.00,9.7,40,Brak pralki/pralni w udogodnieniach obiektu,False,False,False,True,True,False,True,True,"The nearest beach is 1,650 ft from Aktipis Studios 1.",10.0,https://www.booking.com/hotel/gr/aktipis-studios-1.html?aid=2438770&checkin=2026-09-12&checkout=2026-09-26&no_rooms=1&group_adults=2&selected_currency=PLN
Grecja,8,B — rozsądnie: lokalizacja / opinia / pralka preferowana,Aktipis Studios,1798.00,8.9,52,Brak pralki/pralni w udogodnieniach obiektu,False,False,False,True,True,False,False,True,"The nearest beach is 1,650 ft from Aktipis Studios.",9.3,https://www.booking.com/hotel/gr/aktipis-studios.html?aid=2438770&checkin=2026-09-12&checkout=2026-09-20&no_rooms=1&group_adults=2&selected_currency=PLN
Grecja,11,B — rozsądnie: lokalizacja / opinia / pralka preferowana,Aktipis Studios,2473.00,8.9,52,Brak pralki/pralni w udogodnieniach obiektu,False,False,False,True,True,False,False,True,"The nearest beach is 1,650 ft from Aktipis Studios.",9.3,https://www.booking.com/hotel/gr/aktipis-studios.html?aid=2438770&checkin=2026-09-12&checkout=2026-09-23&no_rooms=1&group_adults=2&selected_currency=PLN
Grecja,14,B — rozsądnie: lokalizacja / opinia / pralka preferowana,Aktipis Studios,3147.00,8.9,52,Brak pralki/pralni w udogodnieniach obiektu,False,False,False,True,True,False,False,True,"The nearest beach is 1,650 ft from Aktipis Studios.",9.3,https://www.booking.com/hotel/gr/aktipis-studios.html?aid=2438770&checkin=2026-09-12&checkout=2026-09-26&no_rooms=1&group_adults=2&selected_currency=PLN
Grecja,8,B — rozsądnie: lokalizacja / opinia / pralka preferowana,Kuris Studios & Apartments,1934.00,9.3,123,Brak pralki/pralni w udogodnieniach obiektu,False,False,False,True,True,False,False,True,The nearest beach is 150 ft from Kuris Studios & Apartments.,9.7,https://www.booking.com/hotel/gr/kuris-apartments.html?aid=2438770&checkin=2026-09-12&checkout=2026-09-20&no_rooms=1&group_adults=2&selected_currency=PLN
