kraj,dni,wariant,nazwa,cena_pln,ocena_booking,opinie_booking,status_prania,pralka_potwierdzona,pralka_tylko_opinia,usluga_prania,kuchnia,prywatna_lazienka,beachfront,sea_view,parking,plaza_booking,ocena_wyboru_1_10,link
Kreta,8,A — super: plaża / ocena / okolica,Thalassa Apartments,2273.00,9.5,168,Pralnia/usługa prania potwierdzona; pralka w opiniach,False,True,True,True,True,True,True,True,Najbliższa referencyjna plaża: Kissamos Telonio Beach (~4.1 km w linii prostej),10.0,https://www.booking.com/hotel/gr/thalassa-apartments.html?aid=2438770&checkin=2026-09-16&checkout=2026-09-24&no_rooms=1&group_adults=2&selected_currency=PLN
Kreta,11,A — super: plaża / ocena / okolica,Thalassa Apartments,3062.00,9.5,168,Pralnia/usługa prania potwierdzona; pralka w opiniach,False,True,True,True,True,True,True,True,Najbliższa referencyjna plaża: Kissamos Telonio Beach (~4.1 km w linii prostej),10.0,https://www.booking.com/hotel/gr/thalassa-apartments.html?aid=2438770&checkin=2026-09-16&checkout=2026-09-27&no_rooms=1&group_adults=2&selected_currency=PLN
Kreta,14,A — super: plaża / ocena / okolica,Thalassa Apartments,3851.00,9.5,168,Pralnia/usługa prania potwierdzona; pralka w opiniach,False,True,True,True,True,True,True,True,Najbliższa referencyjna plaża: Kissamos Telonio Beach (~4.1 km w linii prostej),10.0,https://www.booking.com/hotel/gr/thalassa-apartments.html?aid=2438770&checkin=2026-09-16&checkout=2026-09-30&no_rooms=1&group_adults=2&selected_currency=PLN
Kreta,8,A — super: plaża / ocena / okolica,Galini Beach Hotel,3601.00,8.9,759,Brak pralki/pralni w udogodnieniach obiektu,False,False,False,True,True,True,True,True,Najbliższa referencyjna plaża: Kissamos Telonio Beach (~0.1 km w linii prostej),7.2,https://www.booking.com/hotel/gr/galini-beach-kasteli-kissamos.html?aid=2438770&checkin=2026-09-16&checkout=2026-09-24&no_rooms=1&group_adults=2&selected_currency=PLN
Kreta,11,A — super: plaża / ocena / okolica,Galini Beach Hotel,4951.00,8.9,759,Brak pralki/pralni w udogodnieniach obiektu,False,False,False,True,True,True,True,True,Najbliższa referencyjna plaża: Kissamos Telonio Beach (~0.1 km w linii prostej),7.2,https://www.booking.com/hotel/gr/galini-beach-kasteli-kissamos.html?aid=2438770&checkin=2026-09-16&checkout=2026-09-27&no_rooms=1&group_adults=2&selected_currency=PLN
Kreta,14,A — super: plaża / ocena / okolica,Galini Beach Hotel,6302.00,8.9,759,Brak pralki/pralni w udogodnieniach obiektu,False,False,False,True,True,True,True,True,Najbliższa referencyjna plaża: Kissamos Telonio Beach (~0.1 km w linii prostej),7.2,https://www.booking.com/hotel/gr/galini-beach-kasteli-kissamos.html?aid=2438770&checkin=2026-09-16&checkout=2026-09-30&no_rooms=1&group_adults=2&selected_currency=PLN
Kreta,8,A — super: plaża / ocena / okolica,Christina Beach Hotel,3965.00,8.8,221,Brak pralki/pralni w udogodnieniach obiektu,False,False,False,True,True,True,True,True,Najbliższa referencyjna plaża: Mavros Molos / Kissamos (~0.4 km w linii prostej),9.5,https://www.booking.com/hotel/gr/christina-beach.html?aid=2438770&checkin=2026-09-16&checkout=2026-09-24&no_rooms=1&group_adults=2&selected_currency=PLN
Kreta,11,A — super: plaża / ocena / okolica,Christina Beach Hotel,5451.00,8.8,221,Brak pralki/pralni w udogodnieniach obiektu,False,False,False,True,True,True,True,True,Najbliższa referencyjna plaża: Mavros Molos / Kissamos (~0.4 km w linii prostej),9.5,https://www.booking.com/hotel/gr/christina-beach.html?aid=2438770&checkin=2026-09-16&checkout=2026-09-27&no_rooms=1&group_adults=2&selected_currency=PLN
Kreta,14,A — super: plaża / ocena / okolica,Christina Beach Hotel,6938.00,8.8,221,Brak pralki/pralni w udogodnieniach obiektu,False,False,False,True,True,True,True,True,Najbliższa referencyjna plaża: Mavros Molos / Kissamos (~0.4 km w linii prostej),9.5,https://www.booking.com/hotel/gr/christina-beach.html?aid=2438770&checkin=2026-09-16&checkout=2026-09-30&no_rooms=1&group_adults=2&selected_currency=PLN
Kreta,8,A — super: plaża / ocena / okolica,Maria Beach Hotel,5664.00,9,632,Brak pralki/pralni w udogodnieniach obiektu,False,False,False,True,True,True,True,True,Najbliższa referencyjna plaża: Mavros Molos / Kissamos (~0.0 km w linii prostej),9.5,https://www.booking.com/hotel/gr/maria-beach.html?aid=2438770&checkin=2026-09-16&checkout=2026-09-24&no_rooms=1&group_adults=2&selected_currency=PLN
Kreta,11,A — super: plaża / ocena / okolica,Maria Beach Hotel,7788.00,9,632,Brak pralki/pralni w udogodnieniach obiektu,False,False,False,True,True,True,True,True,Najbliższa referencyjna plaża: Mavros Molos / Kissamos (~0.0 km w linii prostej),9.5,https://www.booking.com/hotel/gr/maria-beach.html?aid=2438770&checkin=2026-09-16&checkout=2026-09-27&no_rooms=1&group_adults=2&selected_currency=PLN
Kreta,14,A — super: plaża / ocena / okolica,Maria Beach Hotel,9912.00,9,632,Brak pralki/pralni w udogodnieniach obiektu,False,False,False,True,True,True,True,True,Najbliższa referencyjna plaża: Mavros Molos / Kissamos (~0.0 km w linii prostej),9.5,https://www.booking.com/hotel/gr/maria-beach.html?aid=2438770&checkin=2026-09-16&checkout=2026-09-30&no_rooms=1&group_adults=2&selected_currency=PLN
Kreta,8,A — super: plaża / ocena / okolica,Nautilus Bay Hotel,4106.00,9,588,Brak pralki/pralni w udogodnieniach obiektu,False,False,False,True,True,True,True,True,Najbliższa referencyjna plaża: Mavros Molos / Kissamos (~0.2 km w linii prostej),9.7,https://www.booking.com/hotel/gr/nautilus-bay.html?aid=2438770&checkin=2026-09-16&checkout=2026-09-24&no_rooms=1&group_adults=2&selected_currency=PLN
Kreta,11,A — super: plaża / ocena / okolica,Nautilus Bay Hotel,5561.00,9,588,Brak pralki/pralni w udogodnieniach obiektu,False,False,False,True,True,True,True,True,Najbliższa referencyjna plaża: Mavros Molos / Kissamos (~0.2 km w linii prostej),9.7,https://www.booking.com/hotel/gr/nautilus-bay.html?aid=2438770&checkin=2026-09-16&checkout=2026-09-27&no_rooms=1&group_adults=2&selected_currency=PLN
Kreta,14,A — super: plaża / ocena / okolica,Nautilus Bay Hotel,7567.00,9,588,Brak pralki/pralni w udogodnieniach obiektu,False,False,False,True,True,True,True,True,Najbliższa referencyjna plaża: Mavros Molos / Kissamos (~0.2 km w linii prostej),9.7,https://www.booking.com/hotel/gr/nautilus-bay.html?aid=2438770&checkin=2026-09-16&checkout=2026-09-30&no_rooms=1&group_adults=2&selected_currency=PLN
