kraj,dni,wariant,nazwa,cena_pln,ocena_booking,opinie_booking,status_prania,pralka_potwierdzona,pralka_tylko_opinia,usluga_prania,kuchnia,prywatna_lazienka,beachfront,sea_view,parking,plaza_booking,ocena_wyboru_1_10,link
Turcja,8,A — super: plaża / ocena / okolica,Lukka Exclusive Hotel – Adult Only +12,8076.00,9.4,213,Pralnia/usługa prania potwierdzona w udogodnieniach obiektu,False,False,True,True,True,True,True,True,Najbliższa referencyjna plaża: Küçük Çakıl / Kaş (~4.6 km w linii prostej),6.7,https://www.booking.com/hotel/tr/lukka.html?aid=2438770&checkin=2026-09-16&checkout=2026-09-24&no_rooms=1&group_adults=2&selected_currency=PLN
Turcja,11,A — super: plaża / ocena / okolica,Lukka Exclusive Hotel – Adult Only +12,11104.00,9.4,213,Pralnia/usługa prania potwierdzona w udogodnieniach obiektu,False,False,True,True,True,True,True,True,Najbliższa referencyjna plaża: Küçük Çakıl / Kaş (~4.6 km w linii prostej),6.7,https://www.booking.com/hotel/tr/lukka.html?aid=2438770&checkin=2026-09-16&checkout=2026-09-27&no_rooms=1&group_adults=2&selected_currency=PLN
Turcja,14,A — super: plaża / ocena / okolica,Lukka Exclusive Hotel – Adult Only +12,14133.00,9.4,213,Pralnia/usługa prania potwierdzona w udogodnieniach obiektu,False,False,True,True,True,True,True,True,Najbliższa referencyjna plaża: Küçük Çakıl / Kaş (~4.6 km w linii prostej),6.7,https://www.booking.com/hotel/tr/lukka.html?aid=2438770&checkin=2026-09-16&checkout=2026-09-30&no_rooms=1&group_adults=2&selected_currency=PLN
Turcja,8,A — super: plaża / ocena / okolica,Sundia Exclusive By Liberty Fethiye Adults Only,10262.00,9.1,797,Pralnia/usługa prania potwierdzona w udogodnieniach obiektu,False,False,True,True,True,True,True,True,Najbliższa referencyjna plaża: Çalış Beach / Fethiye (~0.7 km w linii prostej),9.2,https://www.booking.com/hotel/tr/sundia-by-liberty-fethiye.html?aid=2438770&checkin=2026-09-16&checkout=2026-09-24&no_rooms=1&group_adults=2&selected_currency=PLN
Turcja,11,A — super: plaża / ocena / okolica,Sundia Exclusive By Liberty Fethiye Adults Only,13359.00,9.1,797,Pralnia/usługa prania potwierdzona w udogodnieniach obiektu,False,False,True,True,True,True,True,True,Najbliższa referencyjna plaża: Çalış Beach / Fethiye (~0.7 km w linii prostej),9.2,https://www.booking.com/hotel/tr/sundia-by-liberty-fethiye.html?aid=2438770&checkin=2026-09-16&checkout=2026-09-27&no_rooms=1&group_adults=2&selected_currency=PLN
Turcja,14,A — super: plaża / ocena / okolica,Sundia Exclusive By Liberty Fethiye Adults Only,16415.00,9.1,797,Pralnia/usługa prania potwierdzona w udogodnieniach obiektu,False,False,True,True,True,True,True,True,Najbliższa referencyjna plaża: Çalış Beach / Fethiye (~0.7 km w linii prostej),9.2,https://www.booking.com/hotel/tr/sundia-by-liberty-fethiye.html?aid=2438770&checkin=2026-09-16&checkout=2026-09-30&no_rooms=1&group_adults=2&selected_currency=PLN
Turcja,8,A — super: plaża / ocena / okolica,Hotel Uygar,2718.00,8.5,357,Pralnia/usługa prania potwierdzona w udogodnieniach obiektu,False,False,True,False,True,True,False,True,Najbliższa referencyjna plaża: Çalış Beach / Fethiye (~1.2 km w linii prostej),7.7,https://www.booking.com/hotel/tr/uygar.html?aid=2438770&checkin=2026-09-16&checkout=2026-09-24&no_rooms=1&group_adults=2&selected_currency=PLN
Turcja,11,A — super: plaża / ocena / okolica,Hotel Uygar,3737.00,8.5,357,Pralnia/usługa prania potwierdzona w udogodnieniach obiektu,False,False,True,False,True,True,False,True,Najbliższa referencyjna plaża: Çalış Beach / Fethiye (~1.2 km w linii prostej),7.7,https://www.booking.com/hotel/tr/uygar.html?aid=2438770&checkin=2026-09-16&checkout=2026-09-27&no_rooms=1&group_adults=2&selected_currency=PLN
Turcja,14,A — super: plaża / ocena / okolica,Hotel Uygar,4756.00,8.5,357,Pralnia/usługa prania potwierdzona w udogodnieniach obiektu,False,False,True,False,True,True,False,True,Najbliższa referencyjna plaża: Çalış Beach / Fethiye (~1.2 km w linii prostej),7.7,https://www.booking.com/hotel/tr/uygar.html?aid=2438770&checkin=2026-09-16&checkout=2026-09-30&no_rooms=1&group_adults=2&selected_currency=PLN
Turcja,8,A — super: plaża / ocena / okolica,çileks apart otel,2422.00,8.5,159,Pralka w pokoju/obiektu potwierdzona; usługa prania niepotwierdzona,True,False,False,True,True,True,False,True,Najbliższa referencyjna plaża: Çalış Beach / Fethiye (~1.2 km w linii prostej),9.5,https://www.booking.com/hotel/tr/cileks-apart-otel.html?aid=2438770&checkin=2026-09-16&checkout=2026-09-24&no_rooms=1&group_adults=2&selected_currency=PLN
